id_relato,blob_foto,ds_relato,nr_latitude,nr_longitude,boolean_praia_suja,boolean_envolve_animais,dt_hr_relato,nr_likes,id_usuario
1,0x1A2B3C,Lixo espalhado pela areia,23.4333,-45.0833,1,0,15/01/2020,45,3
2,0x2B3C4D,Tartaruga presa em rede de pesca,23.4334,-45.0834,0,1,01/02/2020,67,5
3,0x3C4D5E,Grande quantidade de lixo na praia,23.4335,-45.0835,1,0,15/03/2020,23,7
4,0x4D5E6F,Golfinhos encalhados na praia,23.4336,-45.0836,0,1,01/04/2020,89,2
5,0x5E6F7G,Sacos de lixo deixados na areia,23.4337,-45.0837,1,0,15/05/2020,12,4
6,0x6F7G8H,Ave marinha ferida na praia,23.4338,-45.0838,0,1,01/06/2020,34,6
7,0x7G8H9I,Resíduos plásticos na areia,23.4339,-45.0839,1,0,15/07/2020,56,8
8,0x8H9I0J,Concentração de águas-vivas perto da costa,23.4340,-45.0840,0,1,01/08/2020,78,1
9,0x9I0J1K,Lixo e tartaruga presa em rede de pesca,23.4341,-45.0841,1,1,15/09/2020,90,9
10,0x0J1K2L,Lixo espalhado pela areia,23.4342,-45.0842,1,0,01/10/2020,11,10
11,0x1K2L3M,Grande quantidade de lixo na praia,23.4343,-45.0843,1,0,15/11/2020,22,3
12,0x2L3M4N,Golfinhos encalhados na praia,23.4344,-45.0844,0,1,01/12/2020,33,5
13,0x3M4N5O,Sacos de lixo deixados na areia,23.4345,-45.0845,1,0,15/01/2021,44,7
14,0x4N5O6P,Ave marinha ferida na praia,23.4346,-45.0846,0,1,01/02/2021,55,2
15,0x5O6P7Q,Resíduos plásticos na areia,23.4347,-45.0847,1,0,15/03/2021,66,4
16,0x6P7Q8R,Concentração de águas-vivas perto da costa,23.4348,-45.0848,0,1,01/04/2021,77,6
17,0x7Q8R9S,Lixo e tartaruga presa em rede de pesca,23.4349,-45.0849,1,1,15/05/2021,88,8
18,0x8R9S0T,Lixo espalhado pela areia,23.4350,-45.0850,1,0,01/06/2021,99,10
19,0x9S0T1U,Grande quantidade de lixo na praia,23.4351,-45.0851,1,0,15/07/2021,11,3
20,0x0T1U2V,Golfinhos encalhados na praia,23.4352,-45.0852,0,1,01/08/2021,22,5
21,0x1U2V3W,Sacos de lixo deixados na areia,23.4353,-45.0853,1,0,15/09/2021,33,7
22,0x2V3W4X,Ave marinha ferida na praia,23.4354,-45.0854,0,1,01/10/2021,44,2
23,0x3W4X5Y,Resíduos plásticos na areia,23.4355,-45.0855,1,0,15/11/2021,55,4
24,0x4X5Y6Z,Concentração de águas-vivas perto da costa,23.4356,-45.0856,0,1,01/12/2021,66,6
25,0x5Y6Z7A,Lixo e tartaruga presa em rede de pesca,23.4357,-45.0857,1,1,15/01/2022,77,8
26,0x6Z7A8B,Lixo espalhado pela areia,23.4358,-45.0858,1,0,01/02/2022,88,10
27,0x7A8B9C,Grande quantidade de lixo na praia,23.4359,-45.0859,1,0,15/03/2022,99,3
28,0x8B9C0D,Golfinhos encalhados na praia,23.4360,-45.0860,0,1,01/04/2022,11,5
29,0x9C0D1E,Sacos de lixo deixados na areia,23.4361,-45.0861,1,0,15/05/2022,22,7
30,0x0D1E2F,Ave marinha ferida na praia,23.4362,-45.0862,0,1,01/06/2022,33,2
31,0x1E2F3G,Resíduos plásticos na areia,23.4363,-45.0863,1,0,15/07/2022,44,4
32,0x2F3G4H,Concentração de águas-vivas perto da costa,23.4364,-45.0864,0,1,01/08/2022,55,6
